theta1,theta2,theta3,theta4,theta5,dtheta1,dtheta2,dtheta3,dtheta4,dtheta5,ddtheta1,ddtheta2,ddtheta3,ddtheta4,ddtheta5,Re_1x,Re_1y,Re_2x,Re_2y,Re_3x,Re_3y,Re_4x,Re_4y,Re_5x,Re_5y
0,3.14127,0,3.14127,0,0,0,0,0,0,31.4338,1.91786,-1.74344,2.09217,-1.39492,-0.000369494,0.516911,-0.000369494,-2.01241,-0.000192778,-1.4725,-0.000192778,-0.981685,0,-0.392697
0.00314338,3.14146,-0.000174344,3.14147,-0.000139492,0.314338,0.0191786,-0.0174344,0.0209217,-0.0139492,31.4083,1.91407,-1.74357,2.09234,-1.39502,-0.0160913,0.515773,-0.000196514,-2.01146,-0.000227039,-1.47261,-5.58916e-05,-0.981763,-0.00010956,-0.392726
0.0094276,3.14184,-0.000523045,3.14189,-0.000418486,0.628422,0.0383192,-0.0348701,0.0418451,-0.0278994,31.3563,1.90649,-1.74384,2.0927,-1.39523,-0.055328,0.513115,0.000233618,-2.00956,-0.000312686,-1.47285,0.000286398,-0.98192,-0.000383503,-0.392785
0.0188475,3.14241,-0.00104613,3.14252,-0.000837003,0.941985,0.0573841,-0.0523085,0.0627721,-0.0418517,31.2758,1.89513,-1.74425,2.09323,-1.39554,-0.1179,0.508105,0.000915594,-2.00671,-0.000449727,-1.4732,0.000834255,-0.982156,-0.000821935,-0.392871
0.0298349,3.14308,-0.00165642,3.14325,-0.00132529,1.25572,0.0764747,-0.0697464,0.0836983,-0.0558036,31.1781,1.88189,-1.74473,2.09386,-1.3959,-0.199855,0.500457,0.00180656,-2.00339,-0.000629593,-1.4736,0.00155347,-0.982431,-0.00139747,-0.392972
0.0439559,3.14394,-0.00244112,3.14419,-0.00195312,1.56881,0.0954737,-0.0871876,0.104629,-0.0697579,31.0465,1.86486,-1.74535,2.09468,-1.39636,-0.304682,0.487923,0.00293906,-1.99912,-0.00086086,-1.47413,0.0024786,-0.982785,-0.0021377,-0.393101
0.0612027,3.14499,-0.00340025,3.14535,-0.00272051,1.88101,0.11435,-0.104633,0.125565,-0.0837156,30.8766,1.84407,-1.74612,2.0957,-1.39693,-0.431827,0.468519,0.00430208,-1.9939,-0.00114353,-1.47477,0.00361001,-0.983219,-0.00304285,-0.393257
0.0815649,3.14623,-0.00453387,3.14671,-0.0036275,2.19201,0.133071,-0.122084,0.146509,-0.0976776,30.6631,1.81951,-1.74704,2.09694,-1.3976,-0.580483,0.439865,0.005882,-1.98774,-0.00147759,-1.47554,0.00494818,-0.983732,-0.00411319,-0.393441
0.105029,3.14765,-0.00584205,3.14828,-0.00467415,2.5015,0.151604,-0.139543,0.167462,-0.111645,30.4,1.79122,-1.74813,2.0984,-1.39838,-0.749514,0.399233,0.0076623,-1.98063,-0.00186301,-1.47642,0.00649374,-0.984325,-0.00534905,-0.393651
0.131576,3.14926,-0.00732486,3.15006,-0.0058605,2.80905,0.16991,-0.157009,0.188426,-0.125618,30.0804,1.7592,-1.74939,2.1001,-1.39926,-0.937369,0.3436,0.00962357,-1.9726,-0.00229975,-1.47742,0.00824744,-0.984999,-0.00675082,-0.393886
0.161187,3.15105,-0.0089824,3.15204,-0.00718663,3.11419,0.187951,-0.174486,0.209404,-0.139599,29.6969,1.72348,-1.75082,2.10205,-1.40024,-1.14201,0.269719,0.0117437,-1.96363,-0.0027877,-1.47855,0.0102102,-0.985753,-0.00831896,-0.394145
0.193832,3.15301,-0.0108148,3.15424,-0.00865261,3.4164,0.205691,-0.191975,0.230398,-0.153587,29.2416,1.68409,-1.75245,2.10428,-1.40132,-1.36081,0.174222,0.0139982,-1.95374,-0.00332673,-1.4798,0.0123832,-0.98659,-0.010054,-0.394428
0.22948,3.15516,-0.0128221,3.15665,-0.0102585,3.71507,0.223093,-0.209477,0.25141,-0.167585,28.7062,1.64107,-1.75428,2.10681,-1.40251,-1.5905,0.0537345,0.01636,-1.94293,-0.00391663,-1.48117,0.0147678,-0.987508,-0.0119564,-0.394733
0.268093,3.15747,-0.0150045,3.15927,-0.0120045,4.00951,0.240119,-0.226994,0.272443,-0.181594,28.0821,1.59445,-1.75632,2.10967,-1.4038,-1.82712,-0.0949776,0.0188001,-1.93123,-0.00455712,-1.48267,0.0173654,-0.98851,-0.0140269,-0.395059
